物件の管理番号,備考欄（技術）,積載量/kg,点検月
"HK159","・故障終了後管理会社FAX  ｽﾀｰﾂｱﾒﾆﾃｨ㈱札幌営業所  ℡050-5541-5170  Fax011-781-0336
・点検連絡：貼紙　警備011-721-2000　火曜13：00トドックが多い
・機械室は2号機から
・直話装置は管理室内【１号機玄関向って右側】※メンテスイッチも有り
・駐車場はガスボンベ倉庫前だと止めれるかも



VF2-60　点検連絡：貼紙
駐車場：都度管理会社へ確認　　警備発報：有(帝国セキュリティー011-721-2000)　　　外部解放：無
機械室は2号機屋上から
故障発生時管理会社スターツ北海道株式会社へ連絡TEL：011-738-1711

会長案件
①全ての故障は30分到着厳守へ変更(後から行きますとメンテより回答の場合は「即対応厳守」で有る事の周知)
※LIFTSPOT通信断絶と落とし物で客先指定時間ある場合は30分ルール除外
②センターで遠隔受信は即手配する事(10分以内に復帰・動作確認が取れたらキャンセルでOK)
③メンテ員が行けるいけないで電話時間を費やしてしまうのであれば、他の人が即時、支店長、支社長へ他の応援を出してもらう事の対応を行う事。
④手配後30分で行けない場合は、戸田副本部長・村上本部長どちらか繋がるまで連絡する事。繋がらない場合は管理部の加藤部長でも可(24時間対応/30分以内の場合は不要)
(副本部長　戸田智洋/本部長　村上大生/管理部部長　加藤昇)
⑤現着時にCRCから村上本部長・戸田部長宛に[到着メール]を送る。","450","毎月"
"HK158","・故障終了後管理会社FAX  ｽﾀｰﾂｱﾒﾆﾃｨ㈱札幌営業所  ℡050-5541-5170  Fax011-781-0336
・点検連絡：貼紙　警備011-721-2000　火曜13：00トドックが多い
・機械室は2号機から
・直話装置は管理室内【１号機玄関向って右側】※メンテスイッチも有り
・駐車場はガスボンベ倉庫前だと止めれるかも



VF2-60　点検連絡：貼紙　
駐車場：都度管理会社へ確認　　警備発報：有(帝国セキュリティー011-721-2000)　　　外部解放：無
機械室は2号機から
故障発生)時管理会社スターツ北海道株式会社)へ連絡TEL：011-738-1722
 

会長案件
①全ての故障は30分到着厳守へ変更(後から行きますとメンテより回答の場合は「即対応厳守」で有る事の周知)
※LIFTSPOT通信断絶と落とし物で客先指定時間ある場合は30分ルール除外
②センターで遠隔受信は即手配する事(10分以内に復帰・動作確認が取れたらキャンセルでOK)
③メンテ員が行けるいけないで電話時間を費やしてしまうのであれば、他の人が即時、支店長、支社長へ他の応援を出してもらう事の対応を行う事。
④手配後30分で行けない場合は、戸田副本部長・村上本部長どちらか繋がるまで連絡する事。繋がらない場合は管理部の加藤部長でも可(24時間対応/30分以内の場合は不要)
(副本部長　戸田智洋/本部長　村上大生/管理部部長　加藤昇)
⑤現着時にCRCから村上本部長・戸田部長宛に[到着メール]を送る。","450","毎月"
"HK3-041","入り口はインターホンで開けてもらう
管理人勤務時間　9:15～16:00
上靴要す、キーボックス外部階段屋上入口フェンス
警備無し、駐車場管理室前のスペースか階段横
機械室へは最上階から外部階段でていく。","450","毎月"
"HK-R0458","機種:アソン(10停)
契約:FM
駐車場：昼間は敷地内駐車スペース、連絡先掲示
階段開放：各階開放
警備：なし
入館：0007E
屋上への格子: 0524
挨拶：なし
インターホン：1Fホール
鍵：機械室扉(機械室扉、各階扉)
照明：LED
通知：貼紙(かご内)
備考：屋上格子南京錠　0524","450","毎月"
"HK-R1114","点検時間：FREE
警備：北幹警備 (011-814-3573)
階段開放：なし
点検連絡：一斉FAX

※注意：一斉FAXだが現地貼紙無し","450","毎月"
"HK3-036","駐車場　建物裏来客用Pに止める。
警備なし
暗証：3068
キーボックス　管理人室扉

2024/4/1~停止故障等の発生時、日本ハウズイングへ連絡
夜間休日番号　TEL)06-6885-3053
※札幌本店、南支店ともに共通番号となります","450","毎月"
"HK3-037","駐車場　建物裏来客用Pに止める。
警備なし
暗証：3068
キーボックス　管理人室扉

2024/4/1~停止故障等の発生時、日本ハウズイングへ連絡
夜間休日番号　TEL)06-6885-3053
※札幌本店、南支店ともに共通番号となります","450","毎月"
"HK3-038","駐車場　建物裏来客用Pに止める。
警備なし
暗証：3068
キーボックス　管理人室扉

2024/4/1~停止故障等の発生時、日本ハウズイングへ連絡
夜間休日番号　TEL)06-6885-3053
※札幌本店、南支店ともに共通番号となります","450","毎月"
"HK3-109","駐車場：入口前可
階段開放：有
通知：貼紙
警備：無
監視：プライム直話２
蛍光灯：11月（FL20×2）","450","毎月"
"HK3-069","駐車場：建物入口前
階段開放：有(1?2階間格子戸も)
通知：リフトスポット
警備：無
監視：キズナ
蛍光灯：LED","450","毎月"
"HK218","駐車場：有料P
階段開放：要
通知：貼紙
警備：無し
監視：直話
蛍光灯：FL30,FL20
入館：フリー
屋上南京錠：9330","450","毎月"
"HK2-482","駐車場：現地21番
階段開放：なし
通知：FAX
警備：なし
監視：キズナ
蛍光灯：FCL30x3
入館：鍵(管理人室にKBOX)

2024/4/1~停止故障等の発生時、日本ハウズイングへ連絡
夜間休日番号　TEL)06-6885-3056 ※札幌本店、南支店ともに共通番号となります<!-- RICH TEXT -->","450","毎月"
"HK3-238","駐車場：近隣イオン有料
階段開放：無
通知：現地貼紙
警備：無
監視：キズナ直話
蛍光灯：6月（FCL３０×４）
カゴ内SDカメラ　リース契約中

工事で屋上に足場組まれている為、機械室に入れない状態(2025.3.26~2025.4.30)","450","毎月"
"HK3-107","駐車場：近隣有料
階段開放：有
通知：貼紙
警備：帝国警備（011-721-2000）
監視：キズナ直話
蛍光灯：4月（FCL３０×４）

■JPM認定物件　認定番号：JPM-20645　有効期間：2021/3/9～2023/3/31


※クレーム案件につき要注意
故障完了時は管理会社に報告すること(連絡取れるまで)
連絡先:アパマンプロパティ→ 011-747-4342","450","毎月"
"HK3-106","駐車場：近隣有料
階段開放：無
通知：貼紙
警備：帝国警備（011-721-2000）
監視：無
蛍光灯：3月（FCL３０×４）
暗証：0529

※クレーム案件につき要注意
故障完了時は管理会社に報告すること(連絡取れるまで)
連絡先:アパマンプロパティ→ 011-747-4342
営業時間外カスタマー：0570-010-365","450","毎月"
"HK3-311","","450","毎月"
"HK2-186","<div><font size=""4"">点検時及び故障対応時必ず2名作業(2023.8～)　※状況確認は1名可</font></div><div>?<font size=""4"">入館受付：守衛室にて（カードキー、※物流棟行くなら駐車許可証）</font></div><div>?<span style=""font-size: large;"">鍵借用：守衛室にて 厚生棟⑪　仕込棟⑫　製品棟⑬　濾過棟⑭</span></div><div>?</div><div><span style=""font-size: large;"">現地：011-863-3504</span></div><div><span style=""font-size: large;"">守衛室:011-863-1708</span></div><div>?</div><div><span style=""font-size: large;"">2024.2~ 場内作業時、反射ベスト着用のこと 厚生棟M/Rに保管</span></div><div>?</div><div>?</div><div>?</div><div>?</div><div><span style=""font-size: large;"">【2023.6~　2024.1休止中 工事日報、新書式 作業前KY後、チェック項目【共通】項目確認後 一度提出（受付前のトレイ） ※アサヒビール側で安パトある可能性有 作業後、トレイから日報取り出し、残りチェック項目記入後提出。】</span></div><div>?</div><div><span style=""font-size: large;"">◎各階乗場ドア、外部解錠可</span></div><!-- RICH TEXT -->","4500","毎月"
"HK2-182","<div><font size=""4"">点検時及び故障対応時必ず2名作業(2023.8～)　※状況確認は1名可</font></div><div>?<font size=""4"">入館受付：守衛室にて（カードキー、※物流棟行くなら駐車許可証）</font></div><div>?<span style=""font-size: large;"">鍵借用：守衛室にて 厚生棟⑪　仕込棟⑫　製品棟⑬　濾過棟⑭</span></div><div><font size=""4"">排水処理棟：原動コントロール室にて （関連リンクに写真有り）</font></div><div>?</div><div><span style=""font-size: large;"">現地：011-863-3504</span></div><div><span style=""font-size: large;"">守衛室:011-863-1708</span></div><div>?</div><div><span style=""font-size: large;"">2024.2~ 場内作業時、反射ベスト着用のこと 厚生棟M/Rに保管</span></div><div>?</div><div>?</div><div>?</div><div>?</div><div><span style=""font-size: large;"">【2023.6~　2024.1休止中 工事日報、新書式 作業前KY後、チェック項目【共通】項目確認後 一度提出（受付前のトレイ） ※アサヒビール側で安パトある可能性有 作業後、トレイから日報取り出し、残りチェック項目記入後提出。】</span></div><div>?</div><div><span style=""font-size: large;"">◎各階乗場ドア、外部解錠可</span></div><!-- RICH TEXT -->","600","毎月"
"HK027","<div><font size=""4"">駐車場:入口付近or外部階段付近
</font></div><div><font size=""4"">階段開放:無
</font></div><div><font size=""4"">通知:貼紙(木曜AM以外)</font></div><div><font size=""4"">
警備：無</font></div><div><font size=""4"">
監視:プライムライト</font></div><div><font size=""4"">
蛍光灯：FL20×4本（12月）</font></div><div>?</div><div><font size=""4"">


※何かあった際の窓口は707号室　柴由乙様(元三氏の次男)に連絡お願いします　011-861-7383</font></div><!-- RICH TEXT -->","600","毎月"
"HK-R1425","<div><font size=""4"">駐車場:建物前有料駐車場
</font></div><div><font size=""4"">階段開放:無</font></div><div><font size=""4"">
通知:全体FAX及び貼紙</font></div><div><font size=""4"">
警備:セノン 011-281-2274(インターホン発報有り)
</font></div><div><font size=""4"">監視:無
</font></div><div><font size=""4"">蛍光灯:LED</font></div><!-- RICH TEXT -->","600","毎月"
"HK3-057","<div><font size=""4"">駐車場：14番(管理人確認) </font></div><div><font size=""4"">
階段開放：１～２階扉のみ
</font></div><div><font size=""4"">通知：貼紙（２週間前までに管路人orポストへ）</font></div><div><font size=""4"">
警備：CSP 　011-700-2700
</font></div><div><font size=""4"">監視：キズナ
</font></div><div><font size=""4"">蛍光灯：LED
</font></div><div><font size=""4"">

※冬季マシンベアリングより異音、毎点検レール注油実施要</font></div><!-- RICH TEXT -->","600","毎月"
"HK-R0063","<div><font size=""4"">駐車場：敷地内、駐車スペース</font></div><div><font size=""4"">
階段開放：無
</font></div><div><font size=""4"">通知：全体F　現地TEL　011-864-5321</font></div><div><font size=""4"">
警備：なし</font></div><div><font size=""4"">
監視：直話
</font></div><div><font size=""4"">蛍光灯：LED</font></div><div>?</div><div><font size=""4"">





※かご上ポータブル無し。作業持参必要
直話テスト時はエレベーター正面の扉を開けて入ってくと職員がいるので声をかける。ベルが鳴る。</font></div><!-- RICH TEXT -->","600","毎月"
"HK-R1486","<div><font size=""4"">駐車場：現地駐車場8番（日中のみ・ラミネート掲示）or有料駐車場</font></div><div><font size=""4"">
階段開放：無</font></div><div><font size=""4"">
通知：貼紙・メール（yotei@cosmo-elevator.co.jp)
</font></div><div><font size=""4"">警備：無</font></div><div><font size=""4"">
監視：エミック遠隔</font></div><div><font size=""4"">
蛍光灯：FCL20×4本　7月
</font></div><div><font size=""4"">

※報告書は点検・故障共にコスモエレベーター書式を使用。機械室に有り。2部記入し1部は機械室控え
</font></div><div><font size=""4"">※直話テスト時2F三方枠にリセットボタン有り</font></div><!-- RICH TEXT -->","600","毎月"
"HK2-298","<div><font size=""4"">駐車場：近隣有料
</font></div><div><font size=""4"">階段開放：無
</font></div><div><font size=""4"">通知：現地貼紙
</font></div><div><font size=""4"">警備：帝国警備（011-721-2000）</font></div><div><font size=""4"">
監視：プライム直話２
</font></div><div><font size=""4"">蛍光灯：LED</font></div><div>?</div><div><font size=""4"">
暗証：※8402</font></div><!-- RICH TEXT -->","600","毎月"
"HK3-031","<div><font size=""4"">駐車場：進学会来客用（点検前後挨拶）</font></div><div><font size=""4"">
階段開放：無　</font></div><div><font size=""4"">
通知：貼紙
</font></div><div><font size=""4"">警備：パブリック警備　011-281-3521</font></div><div><font size=""4"">
監視：プライム直話</font></div><div><font size=""4"">
蛍光灯：LED</font></div><!-- RICH TEXT -->","600","毎月"
"HK780","<div>B95　</div><div>
駐車場：玄関前通路</div><div> 
警備：なし </div><div>
外部開放：不要(カバーのみ外す)
</div><div>点検通知：貼紙・全体FAX</div><div>
キーBOX：管理室扉　自社キーBOX内の鍵でユニテックスキーBOX内の鍵を借りる</div><div>
※10Fのホールはオーナー宅の玄関扱いなので作業はしない                                              
※機械室へ行く時は9Fから外部階段の取っ手カバーを外していく(ビス)                                 
外部階段：あけなくてもいいと言われてるが、カバーははずしたほうがいい。
㈱ユニテックスの物件に関しましては、故障対応後、報告書を速やかにFAXするよう、お願い致します。FAX)011-750-1777
蛍光灯：FCL20×6本</div><!-- RICH TEXT -->","600","毎月"
"HK-R1194","<div>FM
B85
1?10
</div><div>キーBOX：駐輪場(向かって右端の屋根の下)キーBOX(建物入口、機械室扉)
</div><div>警備：無
</div><div>入館：カギにて
各号機別に内階段有り最上部に機械室
駐輪場?木の周りまで駐車が可能※連絡先表示必修
</div><div>トランク付
</div><div>LED FCL30×2
</div><div>監視：直話</div><!-- RICH TEXT -->","600","毎月"
"HK-R1193","<div>FM
B85
1?10</div><div>
キーBOX：駐輪場(向かって右端の屋根の下)キーBOX(建物入口、機械室扉)</div><div>
警備：無</div><div>
入館：カギにて
各号機別に内階段有り最上部に機械室
駐輪場?木の周りまで駐車が可能※連絡先表示必修
</div><div>トランク付
</div><div>LED FCL30×2</div><div>
監視：直話</div><!-- RICH TEXT -->","600","毎月"
"HK190","<div>H82　</div><div>
駐車場：ドゥ・ロワイヤル空いているスペースへどこでも邪魔にならないところ </div><div>
警備：なし</div><div> 
外部開放：不要
</div><div>点検通知：貼紙・全体FAX　</div><div>主にPM
鍵：6階扉（エレベーター裏側の方）
蛍光灯：FL20×4本
管理人不在、夜間等の故障連絡は現地管理人室の窓張ってある連絡先へTELする。
㈱ユニテックスの物件に関しましては、故障対応後、報告書を速やかにFAXするよう、お願い致します。FAX)011-750-1777</div><!-- RICH TEXT -->","600","毎月"
"HK-R0722","<div>POG
ACE2LEA
1 ?6
</div><div>
駐車場：建物裏、敷地内駐車場で建物に寄せて駐車、連絡先掲示</div><div>
階段開放：なし
</div><div>警備：なし
</div><div>入館：入館セキュリティなし</div><div>
挨拶：なし
</div><div>インターホン：6階乗り場</div><div>
鍵：機械室扉にキーBO</div><div>X
照明：FCL20x4
</div><div>通知：貼紙</div><div>
備考：内階段の最上部に機械室
</div><div>監視：直話</div><!-- RICH TEXT -->","600","毎月"
"HK006","<div>SICON2001(B85)　</div><div>
駐車場：建物奥の駐輪場前</div><div>
警備：なし</div><div> 
外部開放：不要(内階段）
</div><div>点検通知：貼紙・全体FAX</div><div>
鍵：管理室扉
報告書２部郵送
蛍光灯：LED
　 
午後指定13：00～(偶数月は目視点検）
※故障対応終了後管理会社FAX・TEL  ※入口用カードとマスターキー有り。
※(有)アクティブ管理物件:報告書は2部送付(1部は管理会社控・もう1部はオーナー様控)

【2025.2.26~】
㈱ビッグ及び㈱アクティブ物件に関して、緊急時部品交換が必要な場合
011-552-3311に確認を取ってから進める（鳥井次長・大湯主任担当案件）</div><!-- RICH TEXT -->","600","毎月"
"HK007","<div>SICON2001(B85)　</div><div>
駐車場：建物奥の駐輪場前</div><div>
警備：なし</div><div> 
外部開放：不要(内階段）</div><div>
点検通知：貼紙・全体FAX
</div><div>鍵：管理室扉
報告書２部郵送
蛍光灯：LED

　 
午後指定13：00～(偶数月は目視点検）
※故障対応終了後管理会社FAX・TEL  ※入口用カードとマスターキー有り。
※(有)アクティブ管理物件:報告書は2部送付(1部は管理会社控・もう1部はオーナー様控)

【2025.2.26~】
㈱ビッグ及び㈱アクティブ物件に関して、緊急時部品交換が必要な場合
011-552-3311に確認を取ってから進める（鳥井次長・大湯主任担当案件）</div><!-- RICH TEXT -->","600","毎月"
"HK3-395","<div>①駐車場　　　　　有（来客用駐車場）　</div><div>②入館　　　　　　フリー</div><div>③キーBOX　　　　有（屋上機械室扉）</div><div>④遠隔　　　　　　キズナ</div><div>⑤警備　　　　　　無</div><div>⑥階段開放　　　　無　</div><div>⑦防犯カメラ　　　有（メモリーカード式防犯カメラ　売り切り）</div><div>⑧リフトスポット　無</div><div>⑨蛍光灯　　　　　LED</div><div>⑩点検連絡　　　　張り紙</div><!-- RICH TEXT -->","600","毎月"
"HK3-396","<div>①駐車場　　　　　有（来客用駐車場）　</div><div>②入館　　　　　　フリー</div><div>③キーBOX　　　　有（屋上機械室扉）</div><div>④遠隔　　　　　　キズナ</div><div>⑤警備　　　　　　無</div><div>⑥階段開放　　　　無　</div><div>⑦防犯カメラ　　　有（メモリーカード式防犯カメラ　売り切り）</div><div>⑧リフトスポット　無</div><div>⑨蛍光灯　　　　　LED</div><div>⑩点検連絡　　　　張り紙</div><!-- RICH TEXT -->","600","毎月"
"HK3-397","<div>①駐車場　　　　　有（来客用駐車場）　</div><div>②入館　　　　　　フリー</div><div>③キーBOX　　　　有（屋上機械室扉）</div><div>④遠隔　　　　　　キズナ</div><div>⑤警備　　　　　　無</div><div>⑥階段開放　　　　無　</div><div>⑦防犯カメラ　　　有（メモリーカード式防犯カメラ　売り切り）</div><div>⑧リフトスポット　無</div><div>⑨蛍光灯　　　　　LED</div><div>⑩点検連絡　　　　張り紙</div><!-- RICH TEXT -->","600","毎月"
"HK9-543","<div>向かって右側

駐車場:建物前（邪魔にならない所へ）</div><div>
警備:無
</div><div>内階段
</div><div>毎月　FM
点検報告書は専用書式
点検報告書の業務責任者名は必ず金本健人支店長の名前にすること
</div><div>点検フリー　
プライムライト
</div><div>
外部インターホン:1、3階乗場</div><div>
キーボックス:5階屋上出入口柵</div><!-- RICH TEXT -->","600","毎月"
"HK9-542","<div>向かって左側</div><div>駐車場:建物前（邪魔にならない所へ）</div><div>
警備:無</div><div>
内階段</div><div>
毎月　FM</div><div>
点検報告書は専用書式
点検報告書の業務責任者名は必ず金本健人支店長の名前にすること</div><div>
点検フリー　
プライムライト
</div><div>
外部インターホン:1、3階乗場
</div><div>キーボックス:5階屋上出入口柵</div><!-- RICH TEXT -->","600","毎月"
"HK-R1319","<div>契約: POG　９：30～11：30指定　CV200S
</div><div>点検連絡: 全体FAX
</div><div>警備：無
</div><div>監視装置：無
</div><div>入館：入口インターホンを押して入室
入館後手洗いうがい要</div><!-- RICH TEXT -->","600","毎月"
"HK026","<div>駐車場：オーナー宅玄関横（浅沼ビルから2件北隣）、オーナー宅横(立駐と反対側) 階段開放：無
通知：TEL（011-831-1235）
警備：セコム（011-231-7241）（セコムコード→657302）セコム盤リセット要　オーナーより建物入ってすぐ左の事務所の鍵借用
　　　オーナー不在時はセコムにリセットしてもらう
監視：無
蛍光灯：LED 　</div><!-- RICH TEXT -->","600","毎月"
"HK268","https://dln.app.box.com/f/e58bbaf98a994a52afac4b6d03ff8ae1
報告書アップロードアドレス↑

駐車場　来客用使用。
警備なし
機械室鍵と入口の鍵B棟3号機機械室ドアにキーボックスあり
貼紙掲示板とカゴにあり点検後消して管理人に渡す","600","毎月"
"HK269","https://dln.app.box.com/f/e58bbaf98a994a52afac4b6d03ff8ae1
報告書アップロードアドレス↑

駐車場　来客用使用。
警備なし
機械室鍵と入口の鍵B棟3号機機械室ドアにキーボックスあり
貼紙掲示板とカゴにあり点検後消して管理人に渡す","600","毎月"
"HK270","https://dln.app.box.com/f/e58bbaf98a994a52afac4b6d03ff8ae1
報告書アップロードアドレス↑

駐車場　来客用使用。
警備なし
機械室鍵と入口の鍵B棟3号機機械室ドアにキーボックスあり
貼紙掲示板とカゴにあり点検後消して管理人に渡す","600","毎月"
"HK3-379","リーブ管理棟：厚別区厚別北2条5丁目1-12(1階、入口入って左に曲がったところに有)で挨拶と入口鍵と駐車カード借用
駐車場　来客用に止める、BとC棟の間にある。
警備無し
現地マスク必須、ウレタンマスクは禁止
貼紙、各号機のかご内と建物掲示板に貼ってあるので点検後?がす。



緊急対応等が発生しても点検日キャンセル・変更不可。現地ウレタンマスク禁止
故障完了時、三菱コミュニティーへ完了連絡要(050-3116-2585)
保全工事実施時は「報告書」に加えて管理会社指定の「作業完了報告書」も提出。
現地で捺印をもらい保全工事の請求書と一緒に管理会社(三菱地所コミュニティ)へ郵送

■JPM認定物件　認定番号：JPM-230309　有効期間：2023/8/21～2025/8/31　【旧認定番号：JPM-20387】

【契約先変更】森林公園パークハウス西四番街C棟管理組合→三菱地所コミュニティ㈱札幌支店(2023.8～)
【物件名変更】森林公園パークハウス西4番街C棟→森林公園パークハウス西四番街C棟(2023.8～)
【監視装置変更】遠隔P→プライム(2023.8～)

■■三菱地所コミュニティ・共通事項のメモ■■←作業前後携帯よりweb登録必須
※点検日変更の不可。
緊急対応等で点検日を当日キャンセル等は今後不可とします。
◆点検日時は管理人様の確認を取ってから決定する
◆点検・検査実施後、WEBにて点検実施完了入力の実施
◆検査実施後は書類作成し、報告書をWEB登録(実施翌月の10日まで、JES報告書+検査書類一式)
https://frs.mec-c.com/fr/gyosya/index_gyosya.asp?LG_OPT=
認証ID：0003046 パスワード：19902919
・保守点検日時登録：業務管理課
・検査日時登録：検査課
・保守完了登録：担当者(現場担当者orメンテ事務)
・検査完了登録：検査課
・報告書WEB登録：業務管理課
・検査報告書WEB登録：検査課","600","毎月"
"HK3-380","リーブ管理棟：厚別区厚別北2条5丁目1-12(1階、入口入って左に曲がったところに有)で挨拶と入口鍵と駐車カード借用
駐車場　来客用に止める、BとC棟の間にある。
警備無し
現地マスク必須、ウレタンマスクは禁止
貼紙、各号機のかご内と建物掲示板に貼ってあるので点検後?がす。



緊急対応等が発生しても点検日キャンセル・変更不可。現地ウレタンマスク禁止
故障完了時、三菱コミュニティーへ完了連絡要(050-3116-2585)
保全工事実施時は「報告書」に加えて管理会社指定の「作業完了報告書」も提出。
現地で捺印をもらい保全工事の請求書と一緒に管理会社(三菱地所コミュニティ)へ郵送

■JPM認定物件　認定番号：JPM-230309　有効期間：2023/8/21～2025/8/31　【旧認定番号：JPM-20387】

【契約先変更】森林公園パークハウス西四番街C棟管理組合→三菱地所コミュニティ㈱札幌支店(2023.8～)
【物件名変更】森林公園パークハウス西4番街C棟→森林公園パークハウス西四番街C棟(2023.8～)
【監視装置変更】遠隔P→プライム(2023.8～)

■■三菱地所コミュニティ・共通事項のメモ■■←作業前後携帯よりweb登録必須
※点検日変更の不可。
緊急対応等で点検日を当日キャンセル等は今後不可とします。
◆点検日時は管理人様の確認を取ってから決定する
◆点検・検査実施後、WEBにて点検実施完了入力の実施
◆検査実施後は書類作成し、報告書をWEB登録(実施翌月の10日まで、JES報告書+検査書類一式)
https://frs.mec-c.com/fr/gyosya/index_gyosya.asp?LG_OPT=
認証ID：0003046 パスワード：19902919
・保守点検日時登録：業務管理課
・検査日時登録：検査課
・保守完了登録：担当者(現場担当者orメンテ事務)
・検査完了登録：検査課
・報告書WEB登録：業務管理課
・検査報告書WEB登録：検査課","600","毎月"
"HK3-381","リーブ管理棟：厚別区厚別北2条5丁目1-12(1階、入口入って左に曲がったところに有)で挨拶と入口鍵と駐車カード借用
駐車場　来客用に止める、BとC棟の間にある。
警備無し
現地マスク必須、ウレタンマスクは禁止
貼紙、各号機のかご内と建物掲示板に貼ってあるので点検後?がす。



緊急対応等が発生しても点検日キャンセル・変更不可。現地ウレタンマスク禁止
故障完了時、三菱コミュニティーへ完了連絡要(050-3116-2585)
保全工事実施時は「報告書」に加えて管理会社指定の「作業完了報告書」も提出。
現地で捺印をもらい保全工事の請求書と一緒に管理会社(三菱地所コミュニティ)へ郵送

■JPM認定物件　認定番号：JPM-230309　有効期間：2023/8/21～2025/8/31　【旧認定番号：JPM-20387】

【契約先変更】森林公園パークハウス西四番街C棟管理組合→三菱地所コミュニティ㈱札幌支店(2023.8～)
【物件名変更】森林公園パークハウス西4番街C棟→森林公園パークハウス西四番街C棟(2023.8～)
【監視装置変更】遠隔P→プライム(2023.8～)

■■三菱地所コミュニティ・共通事項のメモ■■←作業前後携帯よりweb登録必須
※点検日変更の不可。
緊急対応等で点検日を当日キャンセル等は今後不可とします。
◆点検日時は管理人様の確認を取ってから決定する
◆点検・検査実施後、WEBにて点検実施完了入力の実施
◆検査実施後は書類作成し、報告書をWEB登録(実施翌月の10日まで、JES報告書+検査書類一式)
https://frs.mec-c.com/fr/gyosya/index_gyosya.asp?LG_OPT=
認証ID：0003046 パスワード：19902919
・保守点検日時登録：業務管理課
・検査日時登録：検査課
・保守完了登録：担当者(現場担当者orメンテ事務)
・検査完了登録：検査課
・報告書WEB登録：業務管理課
・検査報告書WEB登録：検査課","600","毎月"
"HK3-378","リーブ管理棟：厚別区厚別北2条5丁目1-12(1階、入口入って左に曲がったところに有)で挨拶と入口鍵と駐車カード借用
駐車場　来客用に止める、BとC棟の間にある。
警備無し
現地マスク必須、ウレタンマスクは禁止
貼紙、各号機のかご内と建物掲示板に貼ってあるので点検後?がす。


緊急対応等が発生しても点検日キャンセル・変更不可。現地ウレタンマスク禁止
故障完了時、三菱コミュニティーへ完了連絡要(050-3116-2585)
保全工事実施時は「報告書」に加えて管理会社指定の「作業完了報告書」も提出。
現地で捺印をもらい保全工事の請求書と一緒に管理会社(三菱地所コミュニティ)へ郵送

■JPM認定物件　認定番号：JPM-230309　有効期間：2023/8/21～2025/8/31　【旧認定番号：JPM-20387】

【契約先変更】森林公園パークハウス西四番街C棟管理組合→三菱地所コミュニティ㈱札幌支店(2023.8～)
【物件名変更】森林公園パークハウス西4番街C棟→森林公園パークハウス西四番街C棟(2023.8～)
【監視装置変更】遠隔P→プライム(2023.8～)

■■三菱地所コミュニティ・共通事項のメモ■■←作業前後携帯よりweb登録必須
※点検日変更の不可。
緊急対応等で点検日を当日キャンセル等は今後不可とします。
◆点検日時は管理人様の確認を取ってから決定する
◆点検・検査実施後、WEBにて点検実施完了入力の実施
◆検査実施後は書類作成し、報告書をWEB登録(実施翌月の10日まで、JES報告書+検査書類一式)
https://frs.mec-c.com/fr/gyosya/index_gyosya.asp?LG_OPT=
認証ID：0003046 パスワード：19902919
・保守点検日時登録：業務管理課
・検査日時登録：検査課
・保守完了登録：担当者(現場担当者orメンテ事務)
・検査完了登録：検査課
・報告書WEB登録：業務管理課
・検査報告書WEB登録：検査課","600","毎月"
"HK3-319","偶数月(他稼働点検)
VFDL(7停）駐車場所：リーブ管理センターで駐車カードを借用し来客用に停車、警備：無、外部階段解放：無、挨拶：リーブ管理センター（森林公園駅最寄りの郵便局と一緒の建物、目の前路駐する）

遠隔監視：キズナ、入館：暗証、契約：FM、点検月：偶数月(他月稼働)、客先INT：管理室、照明：FCL20×2

暗証　呼3930

キーボックス　B棟管理センター外扉にあり

点検時間：無　　　レポート作成：2部　提出先：現地

点検連絡：専用書式でFAX：011-801-6722(点検の10日以上前にFAX、FAX送信日は1週間前の日付を記載)

緊急対応等が発生しても点検日キャンセル・変更不可。現地ウレタンマスク禁止
夜間0時で共用部消灯する。部品交換計画あり。
故障完了時、三菱コミュニティーへ完了連絡要(050-3116-2585)
保全工事実施時は「報告書」に加えて管理会社指定の「作業完了報告書」も提出。
現地で捺印をもらい保全工事の請求書と一緒に管理会社(三菱地所コミュニティ)へ郵送

【契約先変更】森林公園パークハウス西四番街B棟管理組合→三菱地所コミュニティ㈱札幌支店(2023.8～)
【物件名変更】森林公園パークハウス西4番街B棟→森林公園パークハウス西四番街B棟(2023.8～)
【監視装置変更】遠隔P→プライム(2023.8～)

■■三菱地所コミュニティ・共通事項のメモ■■←作業前後携帯よりweb登録必須
※点検日変更の不可。
緊急対応等で点検日を当日キャンセル等は今後不可とします。
◆点検日時は管理人様の確認を取ってから決定する
◆点検・検査実施後、WEBにて点検実施完了入力の実施
◆検査実施後は書類作成し、報告書をWEB登録(実施翌月の10日まで、JES報告書+検査書類一式)
https://frs.mec-c.com/fr/gyosya/index_gyosya.asp?LG_OPT=
認証ID：0003046 パスワード：19902919
・保守点検日時登録：業務管理課
・検査日時登録：検査課
・保守完了登録：担当者(現場担当者orメンテ事務)
・検査完了登録：検査課
・報告書WEB登録：業務管理課
・検査報告書WEB登録：検査課","600","毎月"
